物品ID,物品名称,所属地,发往地,物品类型,客户等级,收获日期
734,x,G,B,4,6,2026-01-04
735,f,A,H,4,5,2026-01-02
736,k,B,H,1,8,2026-01-04
737,x,A,C,1,9,2026-01-05
738,n,D,G,3,2,2026-01-03
739,g,C,E,1,3,2026-01-03
740,h,H,A,4,10,2026-01-05
741,f,H,A,4,8,2026-01-01
742,t,F,C,4,6,2026-01-06
743,k,A,D,3,8,2026-01-05
744,d,F,B,1,1,2026-01-01
745,a,B,A,2,7,2026-01-01
746,g,C,G,3,3,2026-01-04
747,e,C,D,2,2,2026-01-01
748,x,A,D,1,3,2026-01-04
749,y,E,B,1,5,2025-12-31
750,l,B,G,1,9,2026-01-03
751,b,H,C,3,9,2026-01-05
752,o,A,H,4,2,2026-01-01
753,a,H,D,3,10,2025-12-31
754,g,F,D,3,5,2026-01-01
755,z,H,A,4,7,2025-12-30
756,h,G,E,3,7,2026-01-04
757,w,A,H,1,4,2025-12-30
758,c,F,A,1,10,2026-01-05
759,k,C,H,2,5,2026-01-01
760,u,A,F,2,2,2026-01-05
761,b,A,C,1,4,2026-01-03
762,i,A,E,1,6,2025-12-30
763,b,E,F,1,3,2025-12-30
764,o,A,H,1,2,2026-01-04
765,b,H,A,1,4,2026-01-04
766,x,F,A,2,4,2026-01-06
767,d,A,C,2,10,2026-01-04
768,p,C,F,4,7,2026-01-03
769,c,A,C,1,10,2026-01-05
770,l,G,H,3,10,2026-01-03
771,i,A,H,4,8,2025-12-31
772,u,D,E,2,2,2025-12-30
773,p,F,G,1,6,2025-12-31
774,x,B,G,4,7,2026-01-05
775,b,G,B,1,3,2026-01-03
776,b,F,G,3,10,2026-01-04
777,s,F,C,4,4,2026-01-05
778,n,C,B,3,4,2026-01-01
779,q,H,A,4,3,2026-01-04
780,i,H,G,2,3,2026-01-05
781,p,E,G,3,10,2025-12-31
782,q,H,C,2,7,2025-12-31
783,v,C,D,3,2,2026-01-03
784,p,A,H,4,3,2026-01-05
785,w,C,F,4,9,2025-12-31
786,b,G,B,4,5,2025-12-30
787,y,E,C,3,4,2026-01-01
788,j,B,D,2,7,2026-01-04
789,z,A,H,1,7,2026-01-04
790,d,H,A,4,5,2026-01-02
791,z,A,H,4,9,2026-01-03
792,p,A,H,3,10,2025-12-30
793,h,B,C,1,3,2026-01-04
794,z,H,A,1,5,2026-01-01
795,v,C,F,4,10,2026-01-02
796,n,F,H,1,5,2026-01-06
797,a,H,A,3,6,2025-12-30
798,r,A,H,4,7,2026-01-06
799,t,G,D,1,5,2025-12-31
800,t,H,G,1,9,2026-01-06
801,q,A,H,4,4,2026-01-02
802,c,D,G,2,1,2026-01-03
803,o,A,C,2,10,2025-12-30
804,t,G,B,4,10,2026-01-06
805,m,H,A,2,6,2026-01-04
806,x,B,D,1,1,2026-01-02
807,j,F,D,3,9,2026-01-04
808,m,B,E,3,3,2026-01-06
809,w,F,C,4,5,2026-01-02
810,d,D,B,1,6,2026-01-02
811,m,C,D,2,4,2026-01-04
812,u,H,F,3,6,2026-01-06
813,c,G,A,3,1,2025-12-30
814,m,D,C,1,8,2026-01-05
815,l,G,F,1,2,2025-12-30
816,u,F,B,3,7,2026-01-05
817,d,F,C,3,8,2026-01-03
818,m,A,H,4,4,2026-01-02
819,r,A,B,3,4,2025-12-31
820,d,A,H,4,6,2025-12-31
821,x,C,B,2,8,2025-12-31
822,r,E,A,3,10,2026-01-02
823,i,H,A,4,1,2026-01-04
824,z,G,C,2,6,2026-01-06
825,n,C,H,2,7,2026-01-04
826,v,A,H,4,3,2026-01-04
827,c,E,F,3,4,2025-12-30
828,g,A,G,3,5,2026-01-06
829,m,G,F,3,8,2025-12-30
830,s,C,B,1,7,2025-12-31
831,r,G,B,4,5,2026-01-02
832,j,D,G,1,1,2026-01-03
833,s,E,H,1,4,2026-01-06
834,f,C,F,4,4,2026-01-05
835,n,C,F,4,7,2025-12-30
836,z,B,H,3,4,2026-01-06
837,s,C,F,4,1,2026-01-01
838,w,H,A,4,4,2026-01-01
839,c,G,E,3,10,2026-01-04
840,a,H,C,3,2,2026-01-05
841,q,B,G,4,1,2025-12-31
842,j,F,C,4,9,2026-01-05
843,m,E,A,2,6,2025-12-30
844,d,G,A,1,9,2026-01-02
845,d,A,D,2,5,2026-01-01
846,m,C,B,3,10,2025-12-31
847,q,F,C,4,9,2026-01-04
848,a,F,A,1,2,2026-01-06
849,q,A,B,1,7,2025-12-31
850,j,A,H,2,9,2025-12-30
851,m,G,B,4,10,2026-01-03
852,z,A,H,1,3,2026-01-06
853,c,F,C,4,10,2026-01-01
854,f,C,F,4,4,2026-01-03
855,d,G,H,3,1,2025-12-31
856,x,H,B,2,6,2026-01-01
857,p,F,A,3,2,2025-12-30
858,c,F,C,1,3,2026-01-06
859,m,F,C,4,10,2025-12-30
860,b,C,G,3,2,2025-12-30
861,a,E,D,1,10,2026-01-04
862,w,B,G,4,2,2026-01-03
863,p,A,H,4,2,2026-01-05
864,w,H,A,4,10,2025-12-30
865,i,B,E,2,1,2025-12-30
866,j,G,A,3,7,2026-01-01
867,a,A,H,3,7,2026-01-05
868,n,B,G,4,2,2026-01-01
869,k,B,G,4,1,2026-01-03
870,m,B,G,4,1,2025-12-30
871,i,B,G,4,6,2026-01-01
872,x,H,A,3,6,2026-01-04
873,s,A,B,3,9,2026-01-02
874,h,E,G,3,5,2025-12-31
875,k,C,F,4,2,2026-01-02
876,w,H,E,1,7,2026-01-06
877,x,C,B,1,10,2026-01-01
878,w,C,A,1,10,2026-01-02
879,j,H,C,1,9,2025-12-31
880,w,C,B,1,8,2026-01-05
881,a,G,D,3,8,2026-01-02
882,p,A,C,1,7,2026-01-05
883,o,B,E,1,8,2026-01-03
884,a,A,H,4,6,2025-12-31
885,f,C,A,1,6,2026-01-06
886,a,B,F,1,6,2026-01-05
887,b,B,G,4,8,2025-12-30
888,z,F,G,2,5,2025-12-31
889,y,A,H,4,7,2025-12-30
890,n,D,B,1,1,2026-01-01
891,c,E,H,3,5,2026-01-05
892,d,C,G,3,1,2026-01-04
893,k,G,B,4,4,2026-01-06
894,z,D,F,3,2,2025-12-30
895,s,F,A,2,9,2026-01-03
896,u,C,F,4,4,2026-01-06
897,b,H,C,2,6,2026-01-05
898,a,B,E,2,7,2026-01-04
899,y,H,B,3,2,2026-01-06
900,j,F,B,3,2,2026-01-06
901,g,C,F,2,5,2025-12-30
902,y,D,G,2,3,2026-01-06
903,i,E,H,2,7,2026-01-03
904,e,E,A,3,2,2026-01-01
905,v,F,G,2,7,2026-01-04
906,r,B,C,3,6,2026-01-04
907,h,A,G,1,4,2026-01-06
908,b,D,H,1,9,2025-12-31
909,d,G,E,2,3,2026-01-01
910,h,F,A,3,6,2026-01-06
911,g,H,G,3,8,2025-12-30
912,z,C,F,4,3,2025-12-30
913,m,H,C,1,10,2026-01-05
914,i,B,A,2,2,2026-01-04
915,h,G,C,1,2,2026-01-02
916,d,C,F,4,7,2026-01-02
917,n,H,C,1,2,2026-01-03
918,r,G,A,1,5,2026-01-05
919,j,A,C,2,6,2025-12-31
920,t,A,H,2,9,2026-01-03
921,u,F,G,2,9,2026-01-04
922,n,B,C,1,1,2026-01-05
923,l,G,B,4,1,2025-12-30
924,f,C,A,2,3,2025-12-31
925,p,E,G,2,7,2026-01-03
926,p,F,G,1,1,2025-12-30
927,t,E,F,3,2,2025-12-31
928,y,C,H,3,3,2025-12-30
929,p,A,F,2,1,2026-01-02
930,p,G,C,2,7,2026-01-01
931,h,G,B,1,7,2026-01-02
932,n,F,G,3,2,2026-01-03
933,j,H,E,1,7,2025-12-30
934,z,D,B,3,3,2026-01-01
935,d,G,B,4,7,2025-12-31
936,x,F,H,1,10,2026-01-03
937,l,G,E,1,7,2025-12-31
938,a,F,C,2,7,2026-01-05
939,z,A,F,1,2,2026-01-02
940,r,C,D,2,8,2026-01-04
941,y,H,A,4,2,2026-01-02
942,u,A,C,2,4,2026-01-06
943,j,A,E,3,5,2026-01-04
944,g,G,B,4,6,2026-01-02
945,z,E,G,1,6,2025-12-31
946,a,C,E,3,3,2026-01-01
947,u,A,H,4,5,2026-01-05
948,t,C,F,2,6,2025-12-30
949,y,F,B,2,10,2026-01-01
950,t,E,F,1,9,2026-01-05
951,a,B,E,3,10,2026-01-05
952,b,D,G,2,1,2026-01-06
953,c,A,G,2,6,2026-01-05
954,m,G,F,1,9,2026-01-02
955,f,F,D,1,2,2026-01-01
956,k,F,H,1,6,2026-01-05
957,d,D,C,2,2,2026-01-03
958,o,F,D,3,9,2026-01-04
959,w,F,C,1,2,2026-01-02
960,b,A,C,3,9,2026-01-01
961,s,B,G,4,7,2026-01-05
962,i,E,C,2,3,2026-01-03
963,u,D,F,2,9,2026-01-05
964,e,C,D,2,2,2026-01-04
965,d,A,H,4,7,2026-01-02
966,c,D,B,3,2,2026-01-03
967,g,D,A,3,3,2026-01-02
968,j,C,F,4,2,2026-01-03
969,t,F,C,2,7,2026-01-04
970,c,A,H,4,10,2026-01-03
971,y,A,H,2,5,2026-01-02
972,d,G,H,1,5,2025-12-30
973,i,G,A,1,2,2026-01-02
974,f,C,H,3,7,2026-01-04
975,d,F,C,4,5,2026-01-05
976,h,B,E,3,4,2026-01-02
977,i,D,F,2,10,2026-01-06
978,z,H,B,1,6,2025-12-31
979,s,B,H,3,9,2026-01-02
980,u,H,A,4,9,2025-12-31
981,s,D,G,3,3,2026-01-04
982,m,D,H,3,5,2025-12-31
983,o,A,H,3,3,2026-01-02
984,g,A,H,1,7,2026-01-02
985,n,A,B,2,10,2026-01-03
986,z,B,G,4,10,2026-01-06
987,q,C,F,1,7,2026-01-02
988,u,B,H,3,2,2026-01-04
989,o,E,F,2,4,2026-01-01
990,w,H,B,1,7,2026-01-03
991,i,F,C,4,6,2026-01-02
992,a,D,B,3,6,2026-01-05
993,t,A,E,2,2,2026-01-03
994,n,F,H,3,3,2026-01-03
995,v,H,B,3,8,2025-12-30
996,a,C,E,1,10,2025-12-30
997,m,F,E,3,4,2026-01-03
998,z,C,D,2,3,2026-01-01
999,j,A,G,2,10,2025-12-31
1000,z,B,A,3,7,2025-12-31
